Parametros   pH Conductividad Turbidez Coliformes
Fuente_1	 No	  Si		 No		 Si
Fuente_2	 Si	  Si		 Si		 Si
Fuente_3	 Si	  Si		 Si		 Si
Fuente_4	 Si	  Si		 Si		 Si
Fuente_5	 Si	  Si		 Si		 Si
Fuente_6	 Si	  Si		 Si		 Si
Fuente_7	 Si	  Si		 No		 Si
Fuente_8	 Si	  Si		 No		 Si
Fuente_9	 Si	  Si		 No		 Si
Fuente_10	 Si	  Si		 Si		 Si
Fuente_11	 Si	  Si		 Si		 Si
Fuente_12	 Si	  Si		 Si		 Si
Fuente_13	 Si	  Si		 Si		 Si
Fuente_14	 Si	  Si		 No		 Si
Fuente_15	 Si	  Si		 No		 Si
Fuente_16	 Si	  Si		 No		 Si
Fuente_17	 Si	  Si		 No		 No
Fuente_18	 Si	  Si		 No		 Si
Fuente_19	 Si	  Si		 No		 Si
Fuente_20	 Si	  Si		 Si		 Si
Fuente_21	 Si	  Si		 Si		 Si
Fuente_22	 Si	  Si		 Si		 Si
Fuente_23	 Si	  Si		 No		 Si
Fuente_24	 Si	  Si		 Si		 Si
Fuente_25	 Si	  Si		 Si		 Si
